network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T02:00:00Z,832.036023,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T02:00:00Z,20.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T02:30:00Z,23.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T02:30:00Z,700.644091,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-02T02:45:00Z,3.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T03:00:00Z,742.635327,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T03:00:00Z,15.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T03:30:00Z,25.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T03:30:00Z,865.222645,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-02T03:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T04:00:00Z,617.677536,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T04:00:00Z,19.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T04:00:00Z,2.14,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T04:00:00Z,4.36,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T04:00:00Z,2.82,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T04:00:00Z,0.99,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T04:30:00Z,23.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T04:30:00Z,496.444774,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-02T04:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T05:00:00Z,581.443163,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T05:00:00Z,15.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T05:00:00Z,1.82,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T05:00:00Z,3.99,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T05:00:00Z,2.83,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T05:00:00Z,0.93,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T05:30:00Z,20.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T05:30:00Z,2647.818341,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-02T05:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T06:00:00Z,32.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T06:00:00Z,22.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T06:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T06:00:00Z,2.82,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T06:00:00Z,2.64,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T06:00:00Z,0.91,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T06:30:00Z,978.328071,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T06:30:00Z,1026.07617,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-02T06:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T07:00:00Z,1624.112644,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-02T07:00:00Z,29.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-02T07:00:00Z,1.57,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-02T07:00:00Z,2.31,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-02T07:00:00Z,2.32,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-02T07:00:00Z,0.89,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-02T07:30:00Z,38.0,11111222 
